OBJECTID,ID_No,Name,Name_Other,Components,Part_of,Rec_Type,Rec_Note,Country,State_Prov,Latitude,Longitude,Loc_Note,Dep_Type,Dep_Note,Dep_Form,Commods,HREE_Note,LREE_Note,REE_Ratio,REE,Status,Stat_Note,REE_Mins,Sig_Mins,Oth_Mins,Age_Mzn,Age_Ma,Host_Age,HAge_Ma,Host_Lith,Host_Unit,Assoc_Rock,Alteration,Company,Comments,Ref_List,Discov_Yr,Expl_Note,Mine_Meth,P_Status,PStat_Note,P_Years,P_refs,P_Note,RR_Ore_Mt,RR_TREO_Mt,RR_TREOgrd,RR_REE_grd,RR_Cutoff,RR_HM_Mt,RR_HM_pct,RR_min_Mt,RR_min_pct,RR_mon_Mt,RR_mon_pct,RR_oth_grd,RR_Yr_Est,RR_Refs,RR_RegCode,RR_Note,Region
11,4087,Ambatofinandrahana, , , ,intrusion or complex, ,Madagascar,Fianarantsoa,-20.45,46.95,Approximate location.,alkaline igneous, , ,REE, , , , ,Deposit, ,"bastnäsite, monazite",,,,,,,nepheline syenite dikes,,,,,Small amounts of bas recovered from pegmatites.,Neary and Highley (1984); Woolley (2001),,,,Past producer,,,,,,,,,,,,,,,,,,,,,Africa
12,4192,Amis,Brandberg, , ,intrusion or complex, ,Namibia,Erongo,-21.1988,14.4555,Estimated location.,alkaline igneous, , ,"REE, Th", , , , ,Occurrence, ,"yttrofluorite, monazite, xenotime, allanite, chevkinite, bastnäsite, fergusonite","fluorite, U-pyrochlore, zircon","arfvedsonite, aegirine, quartz, riebeckite, astrophyllite, pyroxene, amphibole, biotite",Lower Cretaceous,,,,fenitized peralkaline arfvedsonite-aegirine granite and associated agpaitic pegmatites,,,,,On southwest periphery of the Brandberg complex.,McManus and Schneider (1994); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
13,4088,Ampasiibitika,Ambohimirahavavy, ,TRE project,site, ,Madagascar,Antsiranana,-13.8005,48.2098,On Ampasindava Peninsula.,alkaline igneous with residual enrichment,"peralkaline granitic dikes, skarn", ,"REE, Ta, Nb, Zr", , , , ,Deposit, ,"pyrochlore, eudialyte, monazite-(Ce), chevkinite-(Ce), eudialyte, nacareniobsite-(Ce), turkestanite, cerite-(Ce), fergusonite-(Y), parisite-(Ce), synchysite-(Ce), gagarinite, bastnäsite, xenotime","pyrochlore, zircon, columbite, baddeleyite, fluorite, fluorapatite, thorite, ilmenite, microlite, cassiterite, sphalerite, galena","quartz, feldspar, aegirine, arfvedsonite, amphibole, riebeckite, aenigmatite",Oligocene–Miocene,,Oligocene–Miocene,23-24 Ma,"eudialyte granite, granite, skarn, syenite, trachyte",Ambohimirahavavy alkaline complex,Jurasic sediments,,Tantalus Rare Earths AG (TRE),Dikes are 0.25-1.0 m thick and dips change radically over short distances (meters).,Estrade and others (2014); Gilbertson and others (2011); Woolley (2001),,"20,000 m of planned diamond drilling initiated by TRE in 2010.",,No production,,,,,17 inferred,0.006,0.1,,,,,,,,,,2011,Pittuck (2013),JORC compliant,,Africa
14,4127,Anezrouf, , , ,intrusion or complex, ,Mali,Kidal,20.067,0.05, ,carbonatite,alkalic igneous OR carbonatite, ,REE, , , , ,Occurrence, ,"pyrochlore, wöhlerite","apatite, titanite, fluorite, zircon, pyrite","sodalite, cancrinite, aegirine, augite, calcite, wollastonite, nepheline, pyroxene, biotite",Permian or younger,,,,"nepheline syenite, ijolite, carbonatite, phonolite, pyroxenite, fenite",,,,,,Liégeois and others (1991); Sauvage and Savard (1985); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
15,4145,Angoche, ,"Congolone, Marrua", ,district or area, ,Mozambique,Nampula,-16.2237,39.9496,Estimated location.,shoreline placer, , ,"Ti, Zr, REE", , , , ,Deposit, ,monazite,"ilmenite, zircon, rutile, magnetite",,,,,,beach sand,,,,Kenmare Resources (1988),Monazite is ~1.7 percent of HM.,Cílek (1989); Kenmare Resources plc (2013); Roskill Information Services (1988); O'Driscoll (1988),,,,Not known,,,,,124 estimated,,,,,,4,,,,,,,Roskill Information Services (1988),Not compliant,,Africa
16,4193,Aris, , , ,intrusion or complex, ,Namibia,Khomas,-22.77,17.137,In Aus Mountains.,alkaline igneous, , ,REE, , , , ,Showing, ,"monazite, eudialyte","sphalerite, apophyllite, makatite",,,,,,phonolite,,,,,Monazite and veinlets with eudialyte have been reported in phonolite in the Aris area.,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
17,4001,Atakor, , , ,intrusion or complex, ,Algeria,Tamanghasset,23.2312,5.6975,Estimated location in Atakor volcanic field.,alkaline igneous, , ,REE, , , , ,Showing, ,"låvenite, mosandrite, eudialyte, rosenbuschite(?)",,"feldspar, nepheline, analcime, haüyne, pyroxene, arfvedsonite, aenigmatite",Miocene,5.7–19.9 Ma,Miocene–Pliocene(?),,agpaitic phonolite,,"trachyte, phonolite",,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
18,4005,Bailundo, , , ,intrusion or complex, ,Angola,Huambo,-12.1523,15.9533,Estimated location.,carbonatite, , ,"P, REE", , , , ,Occurrence, ,"bastnäsite, parisite, synchysite, RE phosphates","magnetite, apatite, barite, pyrochlore, hollandite, strontianite","calcite, dolomite, ankerite",Cretaceous,,,,"calcite carbonatite, phoscorite, fenite",,,,,Small scale mining of magnetite has occurred.,Alberti and others (1999); Filho and others (1991); Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
19,4211,Banke, , , ,intrusion or complex, ,Nigeria,Kaduna,10.8977,8.5511, ,alkaline igneous, , ,"Sn, REE", , , , ,Showing, ,allanite,"hedenbergite, zircon, fluorite","feldspar, quartz, arfvedsonite",Jurassic(?),,Jurassic(?),,ignimbrite,,,,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
20,4090,Befitina,, ,TRE project,site, ,Madagascar,Antsiranana,-13.8218,48.1365, ,supergene,"eluvial clays, argillaceous laterite, ion adsorption", ,"REE, Ta, Nb, Zr, Sn",19% of TRE,"Ce, La,  Nd, Pr", , ,Deposit, ,,baddeleyite,,,,,,weathered granite,,,,Tantalus Rare Earths AG (TRE),Weathered clays are related to REE-bearing peralkaline intrusive stocks and breccias; REE content is higher in saprolites than ferruginous layers.,Gilbertson and others (2011); Pittuck (2013),,"5,000 m of planned diamond drilling and 5,000 m shallow drilling initiated by TRE in 2010.",,No production,,,,,19 inferred,0.025 inferred,0.09,,,,,,,,,,2011,Pittuck (2011),JORC compliant,,Africa
21,4146,Beira, , , ,district or area, ,Mozambique,Sofala,-19.685,35.14,Estimated location.,shoreline placer, , ,"Ti, REE", , , , ,Occurrence(?), ,monazite,"ilmenite, rutile, zircon",,,,,,beach sand,,,,,Monazite is ~1.5 percent of HM,Cílek (1989),,,,No produciton(?),,,,,,,,,,,,,,,,,,,,,Africa
22,4091,Beravina,Ambatofotsy, , ,site, ,Madagascar,Mahajanga,-18.1442,45.3128, ,other igneous deposit,NYF(?) pegmatite, ,"Zr, REE, Nb, F", , , , ,Showing, ,monazite,"zircon, magnetite, ilmenite, titanite","microcline, quartz, pyrite",,,Paleoproterozoic,500-600 Ma,"migmatite—hornblende gneiss, rhyolite",,,,Austral Resources Limited,Occurrence forms a hill.,Austral Resources Limited (2013),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
23,4093,Bezavona,Ampasindava area, , ,intrusion or complex, ,Madagascar,Antsiranana,-13.932,48.0856,Estimated location.,alkaline igneous, , ,REE, , , , ,Occurrence, ,"rinkite, mosandrite, eudialyte",,"astrophyllite, arfvedsonite, aenigmatite, biotite",,,,,"nepheline syenite, phonolite, nordmarkite, theralite",,,,,,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
24,4294,Bikita,Mdara, , ,district or area, ,Zimbabwe,Masvingo,-19.95,31.4333, ,other igneous deposit, ,pegmatite,"Li, REE, Ta, KAO, Sn", , , , ,Occurrence, ,,,,,,,,,,,,,,Taylor and others (2005),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
25,4295,Bindura, , , ,site, ,Zimbabwe,Mashonaland Central,-17.2971,31.3313, ,unclassified, , ,"REE, Ta", , , , ,Showing, ,,,,,,,,,,,,,,de Kun (1987),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
26,4041,Bingo,Bingu, , ,intrusion or complex, ,Democratic Republic of the Congo,Nord-Kivu,0.5608,29.2985,Estimated location.,carbonatite with residual enrichment, , ,REE, , , , ,Occurrence, ,,"magnetite, apatite, pyrochlore, titanite, andradite (melanite), fluorite, got, zircon","calcite, wollastonite, biotite, sodic amphibole, fayalite, hectoliter",,,,,"carbonatite, nepheline syenite, fenite",,,,,Deposit largely a phosphate resource.,Woolley (2001),,,,No production,,,,,,,,,,,,,,,,,,,,,Africa
